Dates,Prices
2021-08-27,9.949085E+00
2021-08-28,9.955412E+00
2021-08-29,9.961925E+00
2021-08-30,9.968622E+00
2021-08-31,9.975502E+00
2021-09-01,9.982564E+00
2021-09-02,9.989804E+00
2021-09-03,9.997223E+00
2021-09-04,1.000482E+01
2021-09-05,1.001259E+01
2021-09-06,1.002053E+01
2021-09-07,1.002864E+01
2021-09-08,1.003692E+01
2021-09-09,1.004537E+01
2021-09-10,1.005398E+01
2021-09-11,1.006275E+01
2021-09-12,1.007168E+01
2021-09-13,1.008077E+01
2021-09-14,1.009002E+01
2021-09-15,1.009942E+01
2021-09-16,1.010898E+01
2021-09-17,1.011868E+01
2021-09-18,1.012852E+01
2021-09-19,1.013851E+01
2021-09-20,1.014865E+01
2021-09-21,1.015892E+01
2021-09-22,1.016932E+01
2021-09-23,1.017987E+01
2021-09-24,1.019054E+01
2021-09-25,1.020134E+01
2021-09-26,1.021226E+01
2021-09-27,1.022331E+01
2021-09-28,1.023448E+01
2021-09-29,1.024576E+01
2021-09-30,1.025716E+01
2021-10-01,1.026867E+01
2021-10-02,1.028029E+01
2021-10-03,1.029201E+01
2021-10-04,1.030384E+01
2021-10-05,1.031576E+01
2021-10-06,1.032778E+01
2021-10-07,1.033989E+01
2021-10-08,1.035210E+01
2021-10-09,1.036439E+01
2021-10-10,1.037676E+01
2021-10-11,1.038921E+01
2021-10-12,1.040174E+01
2021-10-13,1.041435E+01
2021-10-14,1.042702E+01
2021-10-15,1.043976E+01
2021-10-16,1.045257E+01
2021-10-17,1.046543E+01
2021-10-18,1.047835E+01
2021-10-19,1.049133E+01
2021-10-20,1.050436E+01
2021-10-21,1.051743E+01
2021-10-22,1.053055E+01
2021-10-23,1.054370E+01
2021-10-24,1.055690E+01
2021-10-25,1.057012E+01
2021-10-26,1.058338E+01
2021-10-27,1.059666E+01
2021-10-28,1.060996E+01
2021-10-29,1.062329E+01
2021-10-30,1.063663E+01
2021-10-31,1.064998E+01
2021-11-01,1.066334E+01
2021-11-02,1.067670E+01
2021-11-03,1.069007E+01
2021-11-04,1.070344E+01
2021-11-05,1.071680E+01
2021-11-06,1.073015E+01
2021-11-07,1.074349E+01
2021-11-08,1.075681E+01
2021-11-09,1.077011E+01
2021-11-10,1.078339E+01
2021-11-11,1.079664E+01
2021-11-12,1.080987E+01
2021-11-13,1.082306E+01
2021-11-14,1.083621E+01
2021-11-15,1.084933E+01
2021-11-16,1.086240E+01
2021-11-17,1.087542E+01
2021-11-18,1.088839E+01
2021-11-19,1.090131E+01
2021-11-20,1.091417E+01
2021-11-21,1.092697E+01
2021-11-22,1.093971E+01
2021-11-23,1.095238E+01
2021-11-24,1.096497E+01
2021-11-25,1.097750E+01
2021-11-26,1.098995E+01
2021-11-27,1.100231E+01
2021-11-28,1.101460E+01
2021-11-29,1.102679E+01
2021-11-30,1.103890E+01
2021-12-01,1.105091E+01
2021-12-02,1.106283E+01
2021-12-03,1.107465E+01
2021-12-04,1.108636E+01
2021-12-05,1.109797E+01
2021-12-06,1.110948E+01
2021-12-07,1.112087E+01
2021-12-08,1.113214E+01
2021-12-09,1.114330E+01
2021-12-10,1.115434E+01
2021-12-11,1.116526E+01
2021-12-12,1.117605E+01
2021-12-13,1.118671E+01
2021-12-14,1.119724E+01
2021-12-15,1.120764E+01
2021-12-16,1.121790E+01
2021-12-17,1.122802E+01
2021-12-18,1.123800E+01
2021-12-19,1.124784E+01
2021-12-20,1.125753E+01
2021-12-21,1.126707E+01
2021-12-22,1.127646E+01
2021-12-23,1.128570E+01
2021-12-24,1.129478E+01
2021-12-25,1.130370E+01
2021-12-26,1.131246E+01
2021-12-27,1.132106E+01
2021-12-28,1.132949E+01
2021-12-29,1.133776E+01
2021-12-30,1.134586E+01
2021-12-31,1.135379E+01
2022-01-01,1.136155E+01
2022-01-02,1.136913E+01
2022-01-03,1.137653E+01
2022-01-04,1.138376E+01
2022-01-05,1.139081E+01
2022-01-06,1.139768E+01
2022-01-07,1.140436E+01
2022-01-08,1.141086E+01
2022-01-09,1.141717E+01
2022-01-10,1.142330E+01
2022-01-11,1.142924E+01
2022-01-12,1.143499E+01
2022-01-13,1.144054E+01
2022-01-14,1.144591E+01
2022-01-15,1.145108E+01
2022-01-16,1.145605E+01
2022-01-17,1.146083E+01
2022-01-18,1.146542E+01
2022-01-19,1.146980E+01
2022-01-20,1.147399E+01
2022-01-21,1.147798E+01
2022-01-22,1.148177E+01
2022-01-23,1.148536E+01
2022-01-24,1.148874E+01
2022-01-25,1.149193E+01
2022-01-26,1.149491E+01
2022-01-27,1.149769E+01
2022-01-28,1.150027E+01
2022-01-29,1.150264E+01
2022-01-30,1.150481E+01
2022-01-31,1.150678E+01
2022-02-01,1.150854E+01
2022-02-02,1.151010E+01
2022-02-03,1.151145E+01
2022-02-04,1.151260E+01
2022-02-05,1.151355E+01
2022-02-06,1.151429E+01
2022-02-07,1.151483E+01
2022-02-08,1.151516E+01
2022-02-09,1.151529E+01
2022-02-10,1.151522E+01
2022-02-11,1.151495E+01
2022-02-12,1.151448E+01
2022-02-13,1.151380E+01
2022-02-14,1.151293E+01
2022-02-15,1.151185E+01
2022-02-16,1.151058E+01
2022-02-17,1.150910E+01
2022-02-18,1.150743E+01
2022-02-19,1.150557E+01
2022-02-20,1.150351E+01
2022-02-21,1.150125E+01
2022-02-22,1.149881E+01
2022-02-23,1.149617E+01
2022-02-24,1.149334E+01
2022-02-25,1.149032E+01
2022-02-26,1.148711E+01
2022-02-27,1.148371E+01
2022-02-28,1.148013E+01
2022-03-01,1.147637E+01
2022-03-02,1.147243E+01
2022-03-03,1.146830E+01
2022-03-04,1.146400E+01
2022-03-05,1.145951E+01
2022-03-06,1.145486E+01
2022-03-07,1.145003E+01
2022-03-08,1.144502E+01
2022-03-09,1.143985E+01
2022-03-10,1.143451E+01
2022-03-11,1.142900E+01
2022-03-12,1.142333E+01
2022-03-13,1.141750E+01
2022-03-14,1.141151E+01
2022-03-15,1.140537E+01
2022-03-16,1.139906E+01
2022-03-17,1.139261E+01
2022-03-18,1.138600E+01
2022-03-19,1.137925E+01
2022-03-20,1.137235E+01
2022-03-21,1.136531E+01
2022-03-22,1.135813E+01
2022-03-23,1.135081E+01
2022-03-24,1.134335E+01
2022-03-25,1.133576E+01
2022-03-26,1.132805E+01
2022-03-27,1.132020E+01
2022-03-28,1.131223E+01
2022-03-29,1.130414E+01
2022-03-30,1.129593E+01
2022-03-31,1.128761E+01
2022-04-01,1.127917E+01
2022-04-02,1.127062E+01
2022-04-03,1.126197E+01
2022-04-04,1.125321E+01
2022-04-05,1.124435E+01
2022-04-06,1.123539E+01
2022-04-07,1.122634E+01
2022-04-08,1.121719E+01
2022-04-09,1.120796E+01
2022-04-10,1.119864E+01
2022-04-11,1.118924E+01
2022-04-12,1.117976E+01
2022-04-13,1.117021E+01
2022-04-14,1.116058E+01
2022-04-15,1.115088E+01
2022-04-16,1.114112E+01
2022-04-17,1.113129E+01
2022-04-18,1.112141E+01
2022-04-19,1.111147E+01
2022-04-20,1.110148E+01
2022-04-21,1.109143E+01
2022-04-22,1.108135E+01
2022-04-23,1.107122E+01
2022-04-24,1.106105E+01
2022-04-25,1.105085E+01
2022-04-26,1.104061E+01
2022-04-27,1.103035E+01
2022-04-28,1.102006E+01
2022-04-29,1.100975E+01
2022-04-30,1.099942E+01
2022-05-01,1.098908E+01
2022-05-02,1.097873E+01
2022-05-03,1.096837E+01
2022-05-04,1.095801E+01
2022-05-05,1.094764E+01
2022-05-06,1.093728E+01
2022-05-07,1.092693E+01
2022-05-08,1.091658E+01
2022-05-09,1.090625E+01
2022-05-10,1.089594E+01
2022-05-11,1.088565E+01
2022-05-12,1.087538E+01
2022-05-13,1.086514E+01
2022-05-14,1.085493E+01
2022-05-15,1.084476E+01
2022-05-16,1.083462E+01
2022-05-17,1.082453E+01
2022-05-18,1.081448E+01
2022-05-19,1.080447E+01
2022-05-20,1.079452E+01
2022-05-21,1.078463E+01
2022-05-22,1.077479E+01
2022-05-23,1.076502E+01
2022-05-24,1.075531E+01
2022-05-25,1.074567E+01
2022-05-26,1.073610E+01
2022-05-27,1.072661E+01
2022-05-28,1.071719E+01
2022-05-29,1.070786E+01
2022-05-30,1.069861E+01
2022-05-31,1.068945E+01
2022-06-01,1.068038E+01
2022-06-02,1.067141E+01
2022-06-03,1.066253E+01
2022-06-04,1.065375E+01
2022-06-05,1.064508E+01
2022-06-06,1.063651E+01
2022-06-07,1.062805E+01
2022-06-08,1.061971E+01
2022-06-09,1.061148E+01
2022-06-10,1.060337E+01
2022-06-11,1.059538E+01
2022-06-12,1.058751E+01
2022-06-13,1.057977E+01
2022-06-14,1.057216E+01
2022-06-15,1.056468E+01
2022-06-16,1.055734E+01
2022-06-17,1.055013E+01
2022-06-18,1.054306E+01
2022-06-19,1.053614E+01
2022-06-20,1.052936E+01
2022-06-21,1.052273E+01
2022-06-22,1.051624E+01
2022-06-23,1.050991E+01
2022-06-24,1.050374E+01
2022-06-25,1.049772E+01
2022-06-26,1.049186E+01
2022-06-27,1.048616E+01
2022-06-28,1.048063E+01
2022-06-29,1.047526E+01
2022-06-30,1.047006E+01
2022-07-01,1.046502E+01
2022-07-02,1.046016E+01
2022-07-03,1.045547E+01
2022-07-04,1.045096E+01
2022-07-05,1.044662E+01
2022-07-06,1.044247E+01
2022-07-07,1.043849E+01
2022-07-08,1.043469E+01
2022-07-09,1.043108E+01
2022-07-10,1.042765E+01
2022-07-11,1.042441E+01
2022-07-12,1.042136E+01
2022-07-13,1.041849E+01
2022-07-14,1.041582E+01
2022-07-15,1.041334E+01
2022-07-16,1.041105E+01
2022-07-17,1.040895E+01
2022-07-18,1.040705E+01
2022-07-19,1.040535E+01
2022-07-20,1.040384E+01
2022-07-21,1.040253E+01
2022-07-22,1.040142E+01
2022-07-23,1.040051E+01
2022-07-24,1.039980E+01
2022-07-25,1.039929E+01
2022-07-26,1.039898E+01
2022-07-27,1.039888E+01
2022-07-28,1.039897E+01
2022-07-29,1.039927E+01
2022-07-30,1.039977E+01
2022-07-31,1.040048E+01
2022-08-01,1.040139E+01
2022-08-02,1.040250E+01
2022-08-03,1.040382E+01
2022-08-04,1.040534E+01
2022-08-05,1.040707E+01
2022-08-06,1.040900E+01
2022-08-07,1.041113E+01
2022-08-08,1.041347E+01
2022-08-09,1.041601E+01
2022-08-10,1.041875E+01
2022-08-11,1.042170E+01
2022-08-12,1.042485E+01
2022-08-13,1.042820E+01
2022-08-14,1.043175E+01
2022-08-15,1.043550E+01
2022-08-16,1.043946E+01
